supplier_id,suppliers_company_name,suppliers_contact_name,suppliers_contact_title
5,"Cooperativa de Quesos 'Las Cabras'","Antonio del Valle Saavedra","Export Administrator"
1,"Exotic Liquids","Charlotte Cooper","Purchasing Manager"
14,"Formaggi Fortini s.r.l.","Elio Rossi","Sales Representative"
2,"New Orleans Cajun Delights","Shelley Burke","Order Administrator"
3,"Grandma Kelly's Homestead","Regina Murphy","Sales Representative"
6,Mayumi's,"Mayumi Ohno","Marketing Representative"
7,Pavlova," Ltd.","Ian Devling"
20,"Leka Trading","Chandra Leka","Owner"
15,"Norske Meierier","Beate Vileid","Marketing Manager"
10,"Refrescos Americanas LTDA","Carlos Diaz","Marketing Manager"
